application_id,student_id,job_id,application_date,is_good_match,recruiter_notes_post_decision
a0000,s0053,j031,2026-04-13,1,"Strong fit, proceeding to interview"
a0001,s0046,j008,2026-04-29,0,"Borderline, escalated for review"
a0002,s0131,j020,2026-03-05,1,"Strong fit, proceeding to interview"
a0003,s0055,j013,2026-04-07,0,Did not meet bar
a0004,s0074,j018,2026-03-02,0,Did not meet bar
a0005,s0145,j001,2026-05-27,0,Did not meet bar
a0006,s0050,j023,2026-02-20,1,"Strong fit, proceeding to interview"
a0007,s0084,j016,2026-05-28,0,Did not meet bar
a0008,s0011,j003,2026-04-18,1,"Strong fit, proceeding to interview"
a0009,s0113,j009,2026-05-26,1,"Strong fit, proceeding to interview"
a0010,s0140,j007,2026-03-24,0,Did not meet bar
a0011,s0003,j038,2026-01-21,0,Did not meet bar
a0012,s0126,j010,2026-04-23,1,"Borderline, escalated for review"
a0013,s0008,j016,2026-05-15,0,Did not meet bar
a0014,s0015,j017,2026-01-27,0,Did not meet bar
a0015,s0022,j012,2026-02-10,1,"Strong fit, proceeding to interview"
a0016,s0101,j029,2026-05-08,0,Did not meet bar
a0017,s0117,j022,2026-04-14,0,Did not meet bar
a0018,s0002,j028,2026-03-07,1,"Strong fit, proceeding to interview"
a0019,s0126,j036,2026-02-10,0,"Borderline, escalated for review"
a0020,s0055,j007,2026-01-31,0,Did not meet bar
a0021,s0110,j015,2026-05-01,0,Did not meet bar
a0022,s0116,j014,2026-01-17,0,"Borderline, escalated for review"
a0023,s0087,j033,2026-03-28,0,Did not meet bar
a0024,s0012,j025,2026-03-07,1,"Strong fit, proceeding to interview"
a0025,s0055,j007,2026-03-03,0,Did not meet bar
a0026,s0018,j028,2026-03-09,1,"Strong fit, proceeding to interview"
a0027,s0145,j025,2026-01-06,0,Did not meet bar
a0028,s0115,j011,2026-04-16,0,Did not meet bar
a0029,s0036,j031,2026-05-12,0,Did not meet bar
a0030,s0095,j020,2026-02-19,1,"Borderline, escalated for review"
a0031,s0110,j026,2026-02-12,0,"Borderline, escalated for review"
a0032,s0036,j032,2026-03-05,0,Did not meet bar
a0033,s0043,j022,2026-05-09,0,Did not meet bar
a0034,s0106,j008,2026-05-14,1,"Strong fit, proceeding to interview"
a0035,s0117,j009,2026-05-27,1,"Strong fit, proceeding to interview"
a0036,s0042,j017,2026-05-02,0,Did not meet bar
a0037,s0120,j009,2026-03-06,0,Did not meet bar
a0038,s0139,j014,2026-03-07,0,Did not meet bar
a0039,s0127,j005,2026-03-27,0,Did not meet bar
a0040,s0024,j030,2026-03-04,0,Did not meet bar
